0,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",,9.3,Drama,Tim RobbinsMorgan FreemanBob GuntonWilliam Sadler,Frank Darabont,142 min,1994,A,frank darabonttim robbinsmorgan freemanbob guntonwilliam sadlerdrama,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,,9.2,"Crime, Drama",Marlon BrandoAl PacinoJames CaanDiane Keaton,Francis Ford Coppola,175 min,1972,A,"francis ford coppolamarlon brandoal pacinojames caandiane keatoncrime, drama","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
2,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",,9,"Action, Crime, Drama",Christian BaleHeath LedgerAaron EckhartMichael Caine,Christopher Nolan,152 min,2008,UA,"christopher nolanchristian baleheath ledgeraaron eckhartmichael caineaction, crime, drama","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",,9,"Crime, Drama",Al PacinoRobert De NiroRobert DuvallDiane Keaton,Francis Ford Coppola,202 min,1974,A,"francis ford coppolaal pacinorobert de nirorobert duvalldiane keatoncrime, drama","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
4,12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,,9,"Crime, Drama",Henry FondaLee J. CobbMartin BalsamJohn Fiedler,Sidney Lumet,96 min,1957,U,"sidney lumethenry fondalee j. cobbmartin balsamjohn fiedlercrime, drama","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
